,case_id,st_cd,naics_code_description,case_violtn_cnt,findings_start_date,findings_end_date,h2a_violtn_cnt,h2a_bw_atp_amt,h2a_ee_atp_cnt,h2a_cmp_assd_amt,ld_dt,start_year,end_year,start_month_int,end_month_int,start_quarter,end_quarter,ld_dt_object,ld_dt_year,ld_dt_month,ld_dt_quarter,total_employment
232260,1823623,NY,Apple Orchards,1,8/24/2015,8/20/2017,1,0.0,0,0.0,2018-03-24 02:13:06 EDT,2015,2017,8,8,SEP,SEP,2018-03-24 02:13:06,2018,3,MAR,81
232279,1823740,TN,Farm Management Services,1,6/4/2015,6/3/2017,1,0.0,0,0.0,2018-03-24 02:13:06 EDT,2015,2017,6,6,JUN,JUN,2018-03-24 02:13:06,2018,3,MAR,20
232291,1816728,LA,Nursery and Tree Production,14,2/15/2015,3/22/2017,14,35620.57,14,787.5,2018-03-24 02:13:06 EDT,2015,2017,2,3,MAR,MAR,2018-03-24 02:13:06,2018,3,MAR,18
232364,1828678,MS,Farm Product Warehousing and Storage,1,5/1/2017,6/25/2017,1,0.0,0,663.2,2018-03-24 02:13:06 EDT,2017,2017,5,6,JUN,JUN,2018-03-24 02:13:06,2018,3,MAR,16
232446,1677864,NH,Forest Nurseries and Gathering of Forest Products,22,12/14/2010,12/13/2012,19,0.0,0,42750.0,2017-07-18 02:09:31 EDT,2010,2012,12,12,DEC,DEC,2017-07-18 02:09:31,2017,7,SEP,8
232507,1796774,NJ,Other Vegetable (except Potato) and Melon Farming,6,10/1/2015,9/23/2016,3,0.0,0,12884.9,2017-07-18 02:09:31 EDT,2015,2016,10,9,DEC,SEP,2017-07-18 02:09:31,2017,7,SEP,37
232547,1414688,TN,Other Noncitrus Fruit Farming,16,3/4/2005,8/12/2005,16,0.0,0,0.0,2015-02-20 01:00:06 EST,2005,2005,3,8,MAR,SEP,2015-02-20 01:00:06,2015,2,MAR,18
232765,1803303,LA,Potato Farming,2,2/1/2014,10/25/2016,2,0.0,0,1350.0,2017-11-06 11:04:32 EST,2014,2016,2,10,MAR,DEC,2017-11-06 11:04:32,2017,11,DEC,19
232766,1803314,LA,Potato Farming,7,2/14/2014,10/27/2016,5,0.0,0,2771.1,2017-11-06 11:04:32 EST,2014,2016,2,10,MAR,DEC,2017-11-06 11:04:32,2017,11,DEC,19
232767,1803335,LA,Nursery and Tree Production,1,11/17/2014,11/16/2016,1,0.0,0,746.1,2017-11-06 11:04:32 EST,2014,2016,11,11,DEC,DEC,2017-11-06 11:04:32,2017,11,DEC,19
