,case_id,st_cd,naics_code_description,case_violtn_cnt,findings_start_date,findings_end_date,h2a_violtn_cnt,h2a_bw_atp_amt,h2a_ee_atp_cnt,h2a_cmp_assd_amt,ld_dt,start_year,end_year,start_month_int,end_month_int,start_quarter,end_quarter,ld_dt_object,ld_dt_year,ld_dt_month,ld_dt_quarter,total_employment
225715,1801378,VT,Gasoline Stations with Convenience Stores,8,9/29/2014,9/27/2016,6,0.0,0,6072.7,2017-11-06 11:04:32 EST,2014,2016,9,9,SEP,SEP,2017-11-06 11:04:32,2017,11,DEC,3
225811,1813675,FL,Farm Labor Contractors and Crew Leaders,1,10/1/2016,2/17/2017,1,0.0,0,0.0,2017-07-18 02:09:32 EDT,2016,2017,10,2,DEC,MAR,2017-07-18 02:09:32,2017,7,SEP,82
225812,1813676,FL,Farm Labor Contractors and Crew Leaders,1,10/1/2016,2/17/2017,1,0.0,0,0.0,2017-07-18 02:09:32 EDT,2016,2017,10,2,DEC,MAR,2017-07-18 02:09:32,2017,7,SEP,82
225813,1813677,FL,Farm Labor Contractors and Crew Leaders,1,10/1/2016,2/17/2017,1,0.0,0,0.0,2017-07-18 02:09:32 EDT,2016,2017,10,2,DEC,MAR,2017-07-18 02:09:32,2017,7,SEP,82
225815,1813679,FL,Farm Labor Contractors and Crew Leaders,1,10/1/2016,2/17/2017,1,0.0,0,0.0,2017-07-18 02:09:32 EDT,2016,2017,10,2,DEC,MAR,2017-07-18 02:09:32,2017,7,SEP,82
225816,1813680,FL,Farm Labor Contractors and Crew Leaders,1,10/1/2016,2/17/2017,1,0.0,0,0.0,2017-07-18 02:09:32 EDT,2016,2017,10,2,DEC,MAR,2017-07-18 02:09:32,2017,7,SEP,82
225859,1813691,FL,Farm Labor Contractors and Crew Leaders,1,10/1/2016,2/17/2017,1,0.0,0,0.0,2017-07-18 02:09:32 EDT,2016,2017,10,2,DEC,MAR,2017-07-18 02:09:32,2017,7,SEP,82
225977,1818530,NE,Sheep and Goat Farming,1,4/25/2015,4/24/2017,1,0.0,0,0.0,2017-11-06 11:04:32 EST,2015,2017,4,4,JUN,JUN,2017-11-06 11:04:32,2017,11,DEC,10
226025,1826938,VA,Tobacco Farming,4,7/8/2015,7/6/2017,3,0.0,0,0.0,2017-11-06 11:04:32 EST,2015,2017,7,7,SEP,SEP,2017-11-06 11:04:32,2017,11,DEC,26
226026,1826945,VA,Tobacco Farming,3,7/20/2015,7/10/2017,3,0.0,0,0.0,2017-11-06 11:04:32 EST,2015,2017,7,7,SEP,SEP,2017-11-06 11:04:32,2017,11,DEC,26
226115,1559614,TX,Farm Labor Contractors and Crew Leaders,95,6/11/2009,10/15/2009,92,0.0,0,240000.0,2015-02-20 01:00:06 EST,2009,2009,6,10,JUN,DEC,2015-02-20 01:00:06,2015,2,MAR,130
226317,1733218,MN,Other Vegetable (except Potato) and Melon Farming,378,4/1/2010,10/15/2014,343,629339.66,88,0.0,2017-11-06 11:04:32 EST,2010,2014,4,10,JUN,DEC,2017-11-06 11:04:32,2017,11,DEC,15
226427,1813841,FL,Orange Groves,1,11/20/2016,5/7/2017,1,0.0,0,0.0,2017-07-18 02:09:32 EDT,2016,2017,11,5,DEC,JUN,2017-07-18 02:09:32,2017,7,SEP,82
226456,1818632,MI,Other Food Crops Grown Under Cover,9,4/1/2015,6/26/2016,8,0.0,0,12434.5,2017-07-18 02:09:32 EDT,2015,2016,4,6,JUN,JUN,2017-07-18 02:09:32,2017,7,SEP,36
226463,1816256,FL,Orange Groves,1,11/1/2016,3/19/2017,1,0.0,0,1160.6,2017-07-18 02:09:32 EDT,2016,2017,11,3,DEC,MAR,2017-07-18 02:09:32,2017,7,SEP,82
226550,1827213,VA,Tobacco Farming,3,7/28/2015,7/18/2017,3,0.0,0,0.0,2017-11-06 11:04:32 EST,2015,2017,7,7,SEP,SEP,2017-11-06 11:04:32,2017,11,DEC,26
226612,1826931,VA,Tobacco Farming,1,7/15/2015,7/5/2017,1,0.0,0,0.0,2017-11-06 11:04:32 EST,2015,2017,7,7,SEP,SEP,2017-11-06 11:04:32,2017,11,DEC,26
226795,1663555,FL,Farm Labor Contractors and Crew Leaders,2,7/14/2012,7/24/2012,2,0.0,0,2400.0,2015-02-20 01:00:06 EST,2012,2012,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,88
226861,1815353,FL,Orange Groves,1,10/1/2016,3/31/2017,1,0.0,0,0.0,2017-11-06 11:04:32 EST,2016,2017,10,3,DEC,MAR,2017-11-06 11:04:32,2017,11,DEC,81
226936,1822366,DE,Corn Farming,3,5/23/2015,5/22/2017,2,0.0,0,2100.0,2017-11-06 11:04:32 EST,2015,2017,5,5,JUN,JUN,2017-11-06 11:04:32,2017,11,DEC,73
226999,1827826,VA,Tobacco Farming,1,7/29/2015,7/19/2017,1,0.0,0,0.0,2017-11-06 11:04:32 EST,2015,2017,7,7,SEP,SEP,2017-11-06 11:04:32,2017,11,DEC,26
227001,1827830,VA,Tobacco Farming,3,8/3/2015,7/24/2017,3,0.0,0,0.0,2017-11-06 11:04:32 EST,2015,2017,8,7,SEP,SEP,2017-11-06 11:04:32,2017,11,DEC,26
227075,1510260,LA,Veterinary Services,104,6/5/2007,5/9/2008,77,3406.05,7,0.0,2015-02-20 01:00:06 EST,2007,2008,6,5,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,18
227296,1819498,VA,Other Vegetable (except Potato) and Melon Farming,1,7/2/2015,6/22/2017,1,0.0,0,0.0,2017-11-06 11:04:32 EST,2015,2017,7,6,SEP,JUN,2017-11-06 11:04:32,2017,11,DEC,26
227297,1819500,VA,Other Vegetable (except Potato) and Melon Farming,3,6/8/2015,6/7/2017,2,0.0,0,0.0,2017-11-06 11:04:32 EST,2015,2017,6,6,JUN,JUN,2017-11-06 11:04:32,2017,11,DEC,26
227547,1757690,TX,Sheep Farming,1,6/1/2014,6/10/2015,1,0.0,0,1200.0,2018-03-24 02:13:06 EDT,2014,2015,6,6,JUN,JUN,2018-03-24 02:13:06,2018,3,MAR,132
227588,1814092,KS,"Crop Harvesting, Primarily by Machine",3,12/20/2015,12/31/2016,2,262.28,1,3647.6,2017-07-18 02:09:32 EDT,2015,2016,12,12,DEC,DEC,2017-07-18 02:09:32,2017,7,SEP,23
227672,1802091,ID,Apple Orchards,56,9/21/2014,9/20/2016,2,0.0,0,0.0,2017-11-06 11:04:32 EST,2014,2016,9,9,SEP,SEP,2017-11-06 11:04:32,2017,11,DEC,5
227717,1824780,PA,All Other Miscellaneous Crop Farming,2,7/20/2015,7/19/2017,2,0.0,0,0.0,2017-11-06 11:04:32 EST,2015,2017,7,7,SEP,SEP,2017-11-06 11:04:32,2017,11,DEC,61
228194,1728827,NY,All Other Miscellaneous Crop Farming,6,4/11/2014,11/15/2014,6,0.0,0,4950.0,2017-11-06 11:04:32 EST,2014,2014,4,11,JUN,DEC,2017-11-06 11:04:32,2017,11,DEC,84
228256,1815456,FL,Orange Groves,1,2/15/2017,4/5/2017,1,0.0,0,0.0,2017-11-06 11:04:32 EST,2017,2017,2,4,MAR,JUN,2017-11-06 11:04:32,2017,11,DEC,81
228298,1826225,FL,Farm Labor Contractors and Crew Leaders,2,5/1/2017,6/16/2017,2,0.0,0,0.0,2018-03-24 02:13:06 EDT,2017,2017,5,6,JUN,JUN,2018-03-24 02:13:06,2018,3,MAR,79
228591,1645517,TX,All Other Miscellaneous Crop Farming,5,2/23/2010,2/22/2012,4,0.0,0,3000.0,2015-02-20 01:00:06 EST,2010,2012,2,2,MAR,MAR,2015-02-20 01:00:06,2015,2,MAR,130
228702,1794377,KS,Wheat Farming,3,3/15/2016,12/31/2016,2,0.0,0,0.0,2018-08-14 00:04:08 EDT,2016,2016,3,12,MAR,DEC,2018-08-14 00:04:08,2018,8,SEP,24
228706,1794486,FL,Farm Labor Contractors and Crew Leaders,7,5/15/2016,6/15/2016,2,0.0,0,2745.5,2018-08-14 00:04:08 EDT,2016,2016,5,6,JUN,JUN,2018-08-14 00:04:08,2018,8,SEP,78
228724,1795085,SC,Other Noncitrus Fruit Farming,2,3/29/2016,8/25/2016,2,0.0,0,0.0,2018-08-14 00:04:08 EDT,2016,2016,3,8,MAR,SEP,2018-08-14 00:04:08,2018,8,SEP,17
228756,1794991,SD,"Specialized Freight (except Used Goods) Trucking, Long-Distance",5,6/30/2014,6/29/2016,4,4365.02,1,3979.2,2018-08-14 00:04:08 EDT,2014,2016,6,6,JUN,JUN,2018-08-14 00:04:08,2018,8,SEP,4
228776,1796834,AR,Potato Farming,28,2/26/2015,11/30/2016,27,4498.32,12,6260.4,2018-08-14 00:04:08 EDT,2015,2016,2,11,MAR,DEC,2018-08-14 00:04:08,2018,8,SEP,15
228777,1796835,AR,Potato Farming,10,8/1/2014,8/1/2016,6,0.0,0,3955.4,2018-08-14 00:04:08 EDT,2014,2016,8,8,SEP,SEP,2018-08-14 00:04:08,2018,8,SEP,15
228793,1796256,NC,Tobacco Farming,33,1/1/2016,8/15/2016,27,8520.95,23,14258.8,2018-08-14 00:04:08 EDT,2016,2016,1,8,MAR,SEP,2018-08-14 00:04:08,2018,8,SEP,30
228799,1797803,NY,Nursery and Tree Production,28,7/28/2015,7/27/2017,26,19624.09,17,68684.8,2018-08-14 00:04:08 EDT,2015,2017,7,7,SEP,SEP,2018-08-14 00:04:08,2018,8,SEP,79
228859,1798731,TX,"Specialized Freight (except Used Goods) Trucking, Local",21,3/20/2016,9/2/2016,4,0.0,0,4906.8,2018-08-14 00:04:08 EDT,2016,2016,3,9,MAR,SEP,2018-08-14 00:04:08,2018,8,SEP,129
229084,1486778,NC,Potato Farming,17,1/1/2007,7/23/2007,17,1784.75,6,4800.0,2015-02-20 01:00:06 EST,2007,2007,1,7,MAR,SEP,2015-02-20 01:00:06,2015,2,MAR,35
229105,1626617,NY,Apple Orchards,12,1/10/2010,10/23/2011,1,416.06,1,0.0,2015-02-20 01:00:06 EST,2010,2011,1,10,MAR,DEC,2015-02-20 01:00:06,2015,2,MAR,87
229214,1818516,NE,Corn Farming,38,4/25/2015,4/24/2017,38,35257.06,32,2550.0,2018-08-14 00:04:10 EDT,2015,2017,4,4,JUN,JUN,2018-08-14 00:04:10,2018,8,SEP,10
229219,1818564,KS,"Crop Harvesting, Primarily by Machine",6,5/14/2015,5/10/2017,6,1140.0,4,1350.0,2018-08-14 00:04:10 EDT,2015,2017,5,5,JUN,JUN,2018-08-14 00:04:10,2018,8,SEP,24
229302,1824364,TN,All Other Amusement and Recreation Industries,9,6/8/2015,6/7/2017,8,81994.09,4,8242.4,2018-08-14 00:04:11 EDT,2015,2017,6,6,JUN,JUN,2018-08-14 00:04:11,2018,8,SEP,22
229346,1811221,FL,"Crop Harvesting, Primarily by Machine",86,11/1/2015,2/12/2017,85,18408.54,44,4879.2,2018-08-14 00:04:09 EDT,2015,2017,11,2,DEC,MAR,2018-08-14 00:04:09,2018,8,SEP,78
229392,1811947,FL,Farm Labor Contractors and Crew Leaders,2,10/1/2016,2/14/2017,2,0.0,0,1989.6,2018-08-14 00:04:09 EDT,2016,2017,10,2,DEC,MAR,2018-08-14 00:04:09,2018,8,SEP,78
229484,1812920,FL,Farm Labor Contractors and Crew Leaders,16,11/25/2016,4/16/2017,16,5211.9,12,15585.2,2018-08-14 00:04:09 EDT,2016,2017,11,4,DEC,JUN,2018-08-14 00:04:09,2018,8,SEP,78
229766,1824069,MS,Berry (except Strawberry) Farming,74,4/26/2016,6/20/2017,72,5878.46,43,0.0,2018-08-14 00:04:11 EDT,2016,2017,4,6,JUN,JUN,2018-08-14 00:04:11,2018,8,SEP,16
229783,1824181,NY,Apple Orchards,74,6/13/2015,6/9/2017,72,6310.15,40,1350.0,2018-08-14 00:04:11 EDT,2015,2017,6,6,JUN,JUN,2018-08-14 00:04:11,2018,8,SEP,79
229906,1818822,OR,Sheep Farming,3,5/3/2015,4/19/2017,3,268.14,1,2538.0,2018-08-14 00:04:10 EDT,2015,2017,5,4,JUN,JUN,2018-08-14 00:04:10,2018,8,SEP,8
230039,1820316,AR,Other Vegetable (except Potato) and Melon Farming,11,4/7/2016,4/25/2017,8,0.0,0,11505.6,2018-08-14 00:04:10 EDT,2016,2017,4,4,JUN,JUN,2018-08-14 00:04:10,2018,8,SEP,15
230087,1409205,NC,Tobacco Farming,18,1/1/2005,7/12/2005,15,0.0,0,2725.0,2015-02-20 01:00:06 EST,2005,2005,1,7,MAR,SEP,2015-02-20 01:00:06,2015,2,MAR,35
230198,1590964,KS,Hog and Pig Farming,158,9/14/2008,9/11/2010,17,3548.68,14,4400.0,2015-02-20 01:00:06 EST,2008,2010,9,9,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,23
230345,1827831,VA,Tobacco Farming,7,7/22/2015,7/12/2017,6,3558.85,1,3300.0,2018-08-14 00:04:12 EDT,2015,2017,7,7,SEP,SEP,2018-08-14 00:04:12,2018,8,SEP,25
230413,1803074,WV,Support Activities for Crop Production,25,11/5/2015,10/8/2016,25,1171.41,16,4476.6,2017-11-06 11:04:32 EST,2015,2016,11,10,DEC,DEC,2017-11-06 11:04:32,2017,11,DEC,7
230483,1828370,ME,Vegetable and Melon Farming,17,7/22/2015,7/18/2017,4,0.0,0,1800.0,2018-08-14 00:04:12 EDT,2015,2017,7,7,SEP,SEP,2018-08-14 00:04:12,2018,8,SEP,2
230529,1824772,PA,Fruit and Tree Nut Combination Farming,32,3/1/2016,9/11/2017,28,3611.29,24,8455.8,2018-08-14 00:04:11 EDT,2016,2017,3,9,MAR,SEP,2018-08-14 00:04:11,2018,8,SEP,56
230531,1824775,PA,Nursery and Tree Production,2,6/14/2015,6/12/2017,2,0.0,0,0.0,2018-08-14 00:04:11 EDT,2015,2017,6,6,JUN,JUN,2018-08-14 00:04:11,2018,8,SEP,56
230552,1824957,TX,Beef Cattle Ranching and Farming,3,6/20/2015,6/19/2017,3,2004.0,1,1462.5,2018-08-14 00:04:11 EDT,2015,2017,6,6,JUN,JUN,2018-08-14 00:04:11,2018,8,SEP,129
230816,1683270,FL,Farm Labor Contractors and Crew Leaders,1,9/8/2012,2/14/2013,1,0.0,0,0.0,2015-02-20 01:00:06 EST,2012,2013,9,2,SEP,MAR,2015-02-20 01:00:06,2015,2,MAR,88
230900,1560721,NJ,Other Vegetable (except Potato) and Melon Farming,2,11/12/2007,11/11/2009,2,1753.85,2,0.0,2015-02-20 01:00:06 EST,2007,2009,11,11,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,35
230911,1831273,CO,Other Vegetable (except Potato) and Melon Farming,3,8/3/2015,8/28/2017,3,0.0,0,900.0,2018-08-14 00:04:12 EDT,2015,2017,8,8,SEP,SEP,2018-08-14 00:04:12,2018,8,SEP,15
230935,1713143,TX,Sheep Farming,1,2/1/2012,5/4/2014,1,0.0,0,1200.0,2018-08-14 00:04:05 EDT,2012,2014,2,5,MAR,JUN,2018-08-14 00:04:05,2018,8,SEP,129
231134,1828544,CT,Tobacco Farming,3,7/25/2017,9/5/2017,1,0.0,0,994.8,2018-08-14 00:04:12 EDT,2017,2017,7,9,SEP,SEP,2018-08-14 00:04:12,2018,8,SEP,10
231185,1828888,ND,Wheat Farming,1,3/20/2016,8/22/2017,1,0.0,0,2984.4,2018-08-14 00:04:12 EDT,2016,2017,3,8,MAR,SEP,2018-08-14 00:04:12,2018,8,SEP,2
231186,1828895,NH,"Nursery, Garden Center, and Farm Supply Stores",4,8/9/2015,8/9/2017,4,0.0,0,6355.6,2018-08-14 00:04:12 EDT,2015,2017,8,8,SEP,SEP,2018-08-14 00:04:12,2018,8,SEP,8
231187,1828904,ME,Other Vegetable (except Potato) and Melon Farming,317,8/23/2015,8/22/2017,189,3030.22,93,3679.0,2018-08-14 00:04:12 EDT,2015,2017,8,8,SEP,SEP,2018-08-14 00:04:12,2018,8,SEP,2
231220,1829122,IN,All Other Miscellaneous Crop Farming,4,1/1/2017,7/31/2017,4,488.36,2,663.2,2018-08-14 00:04:12 EDT,2017,2017,1,7,MAR,SEP,2018-08-14 00:04:12,2018,8,SEP,15
231363,1508068,AZ,Farm Labor Contractors and Crew Leaders,99,11/1/2007,3/31/2008,55,75049.22,21,11400.0,2015-02-20 01:00:06 EST,2007,2008,11,3,DEC,MAR,2015-02-20 01:00:06,2015,2,MAR,24
231380,1667323,NY,Apple Orchards,12,1/3/2011,9/16/2012,12,128.76,6,0.0,2015-02-20 01:00:06 EST,2011,2012,1,9,MAR,SEP,2015-02-20 01:00:06,2015,2,MAR,87
231546,1794379,KS,"Crop Harvesting, Primarily by Machine",4,11/17/2014,11/13/2016,4,0.0,0,5321.2,2018-03-24 02:13:06 EDT,2014,2016,11,11,DEC,DEC,2018-03-24 02:13:06,2018,3,MAR,23
